mysql> SELECT city, province, LOWER(country), postalCode FROM Address ORDER BY country DESC;
+----------------------------------+--------------------------------+----------------------------------------------+------------+
| city                             | province                       | LOWER(country)                               | postalCode |
| Destelbergen                     | OV                             | kazakhstan                                   | 127383     |
| Polatl?                          | Ankara                         | kazakhstan                                   | 59848      |
| Lauro de Freitas                 | Bahia                          | jordan                                       | 408454     |
| Baddeck                          | Nova Scotia                    | jordan                                       | 2794       |
| Castletown                       | Caithness                      | jordan                                       | 83939-847  |
| Vienna                           | Wie                            | jordan                                       | 52609      |
| Berlin                           | BE                             | jordan                                       | 58911-637  |
| Metz                             | LO                             | jordan                                       | 78597      |
| L?vis                            | QC                             | jordan                                       | 64612      |
| Nice                             | PR                             | jordan                                       | 68566      |
| Ospedaletto Lodigiano            | LOM                            | jordan                                       | 5942       |
| Leoben                           | Stm                            | jordan                                       | G7 7BK     |
| Pereto                           | Abruzzo                        | jordan                                       | 616951     |
| Baranello                        | Molise                         | jordan                                       | 549454     |
| Galway                           | C                              | jersey                                       | A7L 5N6    |
| Muno                             | Luxemburg                      | jersey                                       | 0521ZK     |
| Hengelo                          | Overijssel                     | jersey                                       | 1990       |
| Ikot Ekpene                      | Akwa Ibom                      | jersey                                       | 97524-660  |
| Dornoch                          | SU                             | jersey                                       | 09877-417  |
| Scandriglia                      | Lazio                          | jersey                                       | 5929       |
| Diano Arentino                   | LIG                            | jersey                                       | Y8H 1B1    |
| Chandler                         | Arizona                        | jersey                                       | 5022KN     |
| Cáceres                          | Extremadura                    | jersey                                       | 622095     |
| Geel                             | AN                             | jersey                                       | 58563      |
| Rzeszów                          | PK                             | japan                                        | 85487      |
| Bozeman                          | MT                             | japan                                        | K9R 1J8    |
| Abbeville                        | Picardie                       | japan                                        | 44807      |
| Houston                          | BC                             | japan                                        | 03415-110  |
| Berlin                           | BE                             | japan                                        | RR5R 6HC   |
| Milena                           | Sicilia                        | japan                                        | 72158      |
| Pontevedra                       | GA                             | japan                                        | U3 9WB     |
| ?slahiye                         | Gaziantep                      | japan                                        | 258040     |
| Bilbo                            | Euskadi                        | jamaica                                      | 66210      |
| Belfort                          | FC                             | jamaica                                      | 55134      |
| Vilvoorde                        | Vlaams-Brabant                 | jamaica                                      | 18110      |
| Sacramento                       | California                     | jamaica                                      | 01-106     |
| Raurkela                         | OR                             | italy                                        | 67052      |
| Vienna                           | Vienna                         | italy                                        | 69657      |
| Huissen                          | Gelderland                     | italy                                        | T6M 0C5    |
| Galway                           | Connacht                       | italy                                        | 3490       |
| San José de Alajuela             | A                              | italy                                        | 21995-338  |
| Little Rock                      | AK                             | italy                                        | OU5G 4DE   |
| Donstiennes                      | HE                             | italy                                        | R2Z 5E5    |
| Cork                             | Munster                        | italy                                        | 74008      |
| Uberlândia                       | MG                             | israel                                       | 30941633   |
| Cork                             | Munster                        | israel                                       | 86287      |
| Wepion                           | NA                             | israel                                       | 63876      |
| Flin Flon                        | Manitoba                       | israel                                       | 17079      |
| Blenheim                         | South Island                   | israel                                       | 1083EY     |
| Antakya                          | Hatay                          | israel                                       | 9090       |
| Juiz de Fora                     | Minas Gerais                   | israel                                       | 7426       |
| Macclesfield                     | Cheshire                       | israel                                       | 504449     |
| Sandy                            | Utah                           | israel                                       | 9578       |
| Horsham                          | Victoria                       | isle of man                                  | N6J 8T6    |
| Denderbelle                      | OV                             | isle of man                                  | 9845       |
| San Vicente                      | San José                       | isle of man                                  | A4W 2M8    |
| Dover                            | Delaware                       | isle of man                                  | 51628      |
| Bremerhaven                      | Bremen                         | isle of man                                  | 97-231     |
| Ogbomosho                        | Oyo                            | isle of man                                  | 7158FC     |
| Pabianice                        | ?ódzkie                        | isle of man                                  | 0219TL     |
| Ceyhan                           | Adana                          | isle of man                                  | 68356      |
| Nagaon                           | AS                             | isle of man                                  | 11406      |
| Belfast                          | Ulster                         | isle of man                                  | 47664      |
| Chartres                         | CE                             | isle of man                                  | 5544       |
| Kailua                           | HI                             | isle of man                                  | 1213HQ     |
| Raj Nandgaon                     | CT                             | ireland                                      | 14567      |
| Chestermere                      | AB                             | ireland                                      | 122545     |
| Meridian                         | Idaho                          | ireland                                      | H4E 0A5    |
| Galway                           | Connacht                       | ireland                                      | 69099      |
| Kraków                           | MP                             | ireland                                      | 0725CH     |
| Jackson                          | Mississippi                    | ireland                                      | 44783      |
| Assen                            | Dr                             | ireland                                      | 34040-867  |
| Cagnes-sur-Mer                   | Provence-Alpes-Côte d'Azur     | ireland                                      | 345561     |
| Lasnigo                          | Lombardia                      | ireland                                      | Y3V 2K0    |
| Belfast                          | U                              | ireland                                      | WS49 3AT   |
| Terneuzen                        | Zeeland                        | ireland                                      | K95 5NI    |
| Cartago                          | Cartago                        | ireland                                      | 47787      |
| Quispamsis                       | NB                             | iraq                                         | E0C 0P3    |
| Baracaldo                        | PV                             | iraq                                         | 6304BT     |
| Ipswich                          | Queensland                     | iraq                                         | X4J 5A8    |
| Purnea                           | JH                             | iraq                                         | 34953-995  |
| Palmerston                       | Northern Territory             | iraq                                         | 212086     |
| Udaipur                          | RJ                             | iraq                                         | 84950      |
| Kenosha                          | WI                             | iraq                                         | 1076ZI     |
| Minna                            | Niger                          | iraq                                         | 55801      |
| Gisborne                         | NI                             | iran                                         | 70210      |
| Anchorage                        | AK                             | iran                                         | 47-875     |
| Radom                            | Mazowieckie                    | iran                                         | 74-019     |
| Blois                            | Centre                         | iran                                         | 8428       |
| Berlin                           | Berlin                         | iran                                         | P3 1CD     |
| Madison                          | Wisconsin                      | iran                                         | 1193       |
| Buguma                           | RI                             | iran                                         | 84751      |
| Sluis                            | Zeeland                        | indonesia                                    | 6795ML     |
| Deventer                         | Overijssel                     | indonesia                                    | 71914      |
| Bremen                           | Bremen                         | indonesia                                    | 22-665     |
| Bia?ystok                        | PD                             | indonesia                                    | 03290      |
| Beausejour                       | Manitoba                       | indonesia                                    | 42-691     |
| Maryborough                      | Queensland                     | indonesia                                    | 9032ZQ     |
| Heerhugowaard                    | N.                             | indonesia                                    | 76253      |
| Alexandra                        | South Island                   | indonesia                                    | 659329     |
| Betim                            | MG                             | indonesia                                    | 831572     |
| Richmond                         | VA                             | indonesia                                    | 58943      |
| Dublin                           | L                              | india                                        | 7158       |
| Dublin                           | L                              | india                                        | 4252       |
| Ketchikan                        | Alaska                         | india                                        | 86-078     |
| Velletri                         | LAZ                            | india                                        | 03015-236  |
| Vitry-sur-Seine                  | Île-de-France                  | india                                        | AX67 7IU   |
| L?vis                            | Quebec                         | india                                        | H8N 4M4    |
| Hamburg                          | Hamburg                        | india                                        | 1942       |
| Portland                         | Maine                          | india                                        | 613149     |
| ?om?a                            | PD                             | india                                        | 164447     |
| Ipís                             | SJ                             | india                                        | 702040     |
| Barranca                         | P                              | india                                        | 2055       |
| Nantes                           | PA                             | iceland                                      | 66853      |
| Dollard-des-Ormeaux              | QC                             | iceland                                      | F4 4BD     |
| Galway                           | Connacht                       | iceland                                      | 7945       |
| Keith                            | BA                             | hungary                                      | 4914       |
| Hamburg                          | HH                             | hungary                                      | Q99 7QN    |
| Kawerau                          | North Island                   | hungary                                      | 80817      |
| Sparwood                         | British Columbia               | hungary                                      | 14744      |
| Vienna                           | Wie                            | hungary                                      | 51626      |
| Bloomington                      | Minnesota                      | hungary                                      | 02823      |
| Apeldoorn                        | Gelderland                     | hungary                                      | 10124-197  |
| Kano                             | Kano                           | hungary                                      | IU7 7CO    |
| Price                            | QC                             | hungary                                      | 45312      |
| Istanbul                         | Istanbul                       | hong kong                                    | 8896       |
| Diadema                          | São Paulo                      | hong kong                                    | 60206      |
| Cambridge                        | NI                             | hong kong                                    | 728958     |
| Dubbo                            | New South Wales                | hong kong                                    | 551209     |
| Vienna                           | Wie                            | hong kong                                    | 9397       |
| San Diego                        | Cartago                        | honduras                                     | M4 1BO     |
| Hilo                             | Hawaii                         | honduras                                     | 19394      |
| Mold                             | FL                             | honduras                                     | S5W 9W6    |
| Trois-Rivi?res                   | Quebec                         | honduras                                     | 59-512     |
| Valéncia                         | Comunitat Valenciana           | honduras                                     | 07155      |
| Bergen                           | Mecklenburg-Vorpommern         | honduras                                     | 78684      |
| Karap?nar                        | Kon                            | honduras                                     | 3714       |
| Little Rock                      | AK                             | honduras                                     | 101747     |
| Lens                             | Nord-Pas-de-Calais             | holy see (vatican city state)                | 71906      |
| Zevekote                         | WV                             | holy see (vatican city state)                | RB4 5DJ    |
| Lakeshore                        | Ontario                        | holy see (vatican city state)                | 79953      |
| Vienna                           | Wie                            | holy see (vatican city state)                | 2010AJ     |
| South Bend                       | Indiana                        | holy see (vatican city state)                | 94-720     |
| Belfast                          | Ulster                         | holy see (vatican city state)                | L0S 5R9    |
| Barbania                         | PIE                            | holy see (vatican city state)                | 41711      |
| Drumheller                       | AB                             | holy see (vatican city state)                | 75838      |
| Patalillo                        | San José                       | heard island and mcdonald islands            | 30372      |
| Legnica                          | DS                             | heard island and mcdonald islands            | XR70 8RG   |
| Osgoode                          | Ontario                        | heard island and mcdonald islands            | 6828       |
| Qutubullapur                     | Andhra Pradesh                 | heard island and mcdonald islands            | 2841OM     |
| Kano                             | KN                             | heard island and mcdonald islands            | 214427     |
| Sunderland                       | Durham                         | heard island and mcdonald islands            | 9074       |
| Wellington                       | NI                             | heard island and mcdonald islands            | 4383       |
| Rycroft                          | AB                             | haiti                                        | 465751     |
| Pi?trebais                       | WB                             | haiti                                        | 39064      |
| San Miguel                       | SJ                             | haiti                                        | 42306      |
| Schagen                          | N.                             | haiti                                        | 8005       |
| Grand Rapids                     | Michigan                       | haiti                                        | 41210      |
| Istanbul                         | Istanbul                       | guyana                                       | KA53 9NV   |
| Balurghat                        | WB                             | guyana                                       | 287477     |
| Amsterdam                        | Noord Holland                  | guyana                                       | M9R 2X8    |
| Opprebais                        | WB                             | guyana                                       | 22736      |
| Modakeke                         | Osun                           | guyana                                       | P7Y 1C2    |
| Gravelbourg                      | Saskatchewan                   | guyana                                       | 00-804     |
| Auburn                           | Maine                          | guyana                                       | 21869      |
| Alvito                           | LAZ                            | guyana                                       | 2472       |
| Sorbo Serpico                    | CAM                            | guyana                                       | 52207      |
| Sioux City                       | Iowa                           | guinea-bissau                                | 5310       |
| Pozant?                          | Ada                            | guinea-bissau                                | 661922     |
| Cartagena                        | MU                             | guinea-bissau                                | 712844     |
| Vienna                           | Vienna                         | guinea-bissau                                | 5708       |
| Renfrew                          | Ontario                        | guinea-bissau                                | 72072      |
| Charlottetown                    | Prince Edward Island           | guinea-bissau                                | 43793      |
| Vitória da Conquista             | Bahia                          | guinea-bissau                                | 8124       |
| Midway                           | British Columbia               | guinea-bissau                                | 64-321     |
| Delta                            | BC                             | guinea-bissau                                | 30705      |
| Charny                           | QC                             | guinea-bissau                                | 42088      |
| Terneuzen                        | Zl                             | guinea-bissau                                | 01627      |
| College                          | AK                             | guinea-bissau                                | 84847-726  |
| Montgomery                       | Alabama                        | guinea                                       | J8T 5S4    |
| Bourlers                         | HE                             | guinea                                       | 347098     |
| Biloxi                           | Mississippi                    | guinea                                       | 9147       |
| Kearny                           | ON                             | guinea                                       | 2904       |
| Colchester                       | Vermont                        | guinea                                       | 8686       |
| Istanbul                         | Istanbul                       | guinea                                       | 0650       |
| Frankfurt                        | BB                             | guinea                                       | J0J 8C1    |
| Berlin                           | Berlin                         | guinea                                       | 74778      |
| Mackay                           | QLD                            | guinea                                       | 614223     |
| Eluru                            | AP                             | guinea                                       | 79750      |
| Kaduna                           | Kaduna                         | guinea                                       | 93-757     |
| Parramatta                       | NSW                            | guinea                                       | 09314-291  |
| Berlin                           | BE                             | guernsey                                     | EU63 0PM   |
| Doel                             | OV                             | guernsey                                     | 41303      |
| Ottignies                        | WB                             | guernsey                                     | 1309       |
| Cardigan                         | Cardiganshire                  | guernsey                                     | 6131       |
| Roosbeek                         | Waals-Brabant                  | guernsey                                     | 5566       |
| Zoetermeer                       | Z.                             | guernsey                                     | 50412      |
| Liberia                          | Guanacaste                     | guernsey                                     | 13581      |
| Cambiago                         | LOM                            | guernsey                                     | 4545       |
| Radom                            | Mazowieckie                    | guernsey                                     | 39-530     |
| Amersfoort                       | U.                             | guernsey                                     | 27033      |
| Ipís                             | San José                       | guernsey                                     | 86-911     |
| Rawalpindi                       | PB                             | guatemala                                    | 40400      |
| Orciano Pisano                   | Toscana                        | guatemala                                    | 8291       |
| Santo Stefano Quisquina          | Sicilia                        | guatemala                                    | 4656       |
| Juneau                           | AK                             | guatemala                                    | 51501      |
| Chelsea                          | QC                             | guatemala                                    | 60810      |
| Atlanta                          | GA                             | guatemala                                    | 20029      |
| Campos dos Goytacazes            | RJ                             | guatemala                                    | 8897       |
| Traralgon                        | VIC                            | guatemala                                    | E5J 2N5    |
| Buckie                           | Banffshire                     | guatemala                                    | 67575      |
| Dublin                           | Leinster                       | guatemala                                    | 1657       |
| Tokoroa                          | NI                             | guatemala                                    | 92502-599  |
| Jefferson City                   | MO                             | guam                                         | 47045-674  |
| Newbury                          | ON                             | guam                                         | 65805      |
| Poitiers                         | Poitou-Charentes               | guam                                         | 78602      |
| Utrecht                          | Utrecht                        | guam                                         | S7E 7L5    |
| Sapele                           | DE                             | guam                                         | 27973      |
| Leke                             | WV                             | guam                                         | 21-484     |
| San José de Alajuela             | A                              | guam                                         | 73087      |
| Konin                            | Wielkopolskie                  | guam                                         | 8078       |
| Mobile                           | AL                             | guam                                         | 54141      |
| Vienna                           | Vienna                         | guam                                         | Q13 6BZ    |
| Izmir                            | ?zmir                          | guadeloupe                                   | 5161       |
| Dörtyol                          | Hatay                          | guadeloupe                                   | 64183-680  |
| Llanidloes                       | Montgomeryshire                | guadeloupe                                   | 5174AR     |
| Aparecida de Goiânia             | GO                             | guadeloupe                                   | 03954      |
| Bhagalpur                        | Bihar                          | guadeloupe                                   | 5594       |
| Smoky Lake                       | Alberta                        | guadeloupe                                   | 2953PK     |
| Vienna                           | Vienna                         | grenada                                      | 24-071     |
| Donosti                          | PV                             | grenada                                      | 60598      |
| New Westminster                  | British Columbia               | grenada                                      | 98470      |
| Aparecida de Goiânia             | Goiás                          | grenada                                      | 71006      |
| Barranca                         | P                              | grenada                                      | 3485       |
| Istanbul                         | Ist                            | grenada                                      | 8659       |
| Thon                             | Namen                          | grenada                                      | 959720     |
| Bremen                           | Bremen                         | grenada                                      | 41063      |
| Terneuzen                        | Zl                             | grenada                                      | 81571      |
| Cuglieri                         | SAR                            | grenada                                      | P9A 7K1    |
| Conselice                        | ERM                            | grenada                                      | 10119      |
| Kano                             | KN                             | grenada                                      | 555994     |
| Pukekohe                         | North Island                   | greenland                                    | 14399      |
| Saint-Hilarion                   | QC                             | greenland                                    | 79-614     |
| Sint-Jans-Molenbeek              | BU                             | greenland                                    | 21488      |
| Dublin                           | L                              | greenland                                    | 64839      |
| Neuville                         | Quebec                         | greenland                                    | 01709      |
| Granada                          | Andalucía                      | greenland                                    | 48-337     |
| Gateshead                        | Durham                         | greenland                                    | 31-046     |
| Levallois-Perret                 | IL                             | greenland                                    | 3733       |
| Montgomery                       | MG                             | greenland                                    | K9 4DR     |
| Spaniard's Bay                   | Newfoundland and Labrador      | greece                                       | 3155TT     |
| Malbaie                          | Quebec                         | greece                                       | 87606      |
| Santarém                         | Pará                           | greece                                       | 74278      |
| Canberra                         | Australian Capital Territory   | greece                                       | 53091      |
| Butte                            | MT                             | greece                                       | 28560-098  |
| Cambrai                          | Nord-Pas-de-Calais             | greece                                       | 70-301     |
| Bendigo                          | VIC                            | greece                                       | 0408       |
| Heredia                          | H                              | greece                                       | 58267-687  |
| Oss                              | Noord Brabant                  | gibraltar                                    | 9914       |
| Sint-Kruis-Winkel                | Oost-Vlaanderen                | gibraltar                                    | CA9E 5EM   |
| Istanbul                         | Istanbul                       | gibraltar                                    | 00906      |
| Sellia Marina                    | Calabria                       | gibraltar                                    | 4870       |
| Kansas City                      | Missouri                       | gibraltar                                    | 01447      |
| Konin                            | WP                             | gibraltar                                    | 4087       |
| Tay                              | ON                             | gibraltar                                    | 286620     |
| Limbach-Oberfrohna               | Saxony                         | gibraltar                                    | 40134      |
| Aurora                           | IL                             | gibraltar                                    | 42527      |
| Lawton                           | OK                             | ghana                                        | 7068       |
| Kitchener                        | Ontario                        | ghana                                        | 6896       |
| Belfast                          | U                              | ghana                                        | 969527     |
| San Antonio                      | SJ                             | ghana                                        | G2X 8P2    |
| Beypazar?                        | Ank                            | ghana                                        | 78264      |
| Kayseri                          | Kayseri                        | ghana                                        | 4289       |
| Porirua                          | NI                             | ghana                                        | 6512       |
| Melle                            | OV                             | ghana                                        | 6611       |
| Bremen                           | HB                             | ghana                                        | 5918       |
| Deschambault                     | QC                             | ghana                                        | 21917      |
| Sulzbach                         | SL                             | germany                                      | UX60 0MN   |
| Greymouth                        | SI                             | germany                                      | 42161      |
| East Gwillimbury                 | ON                             | germany                                      | 6165       |
| Cañas                            | Guanacaste                     | germany                                      | 33483      |
| Iowa City                        | Iowa                           | germany                                      | 2046OR     |
| E?k                              | Warmi?sko-mazurskie            | germany                                      | 722564     |
| Kano                             | KN                             | germany                                      | 15429      |
| Madison                          | WI                             | germany                                      | 42299-712  |
| Bacabal                          | Maranhão                       | georgia                                      | 7474DD     |
| Villers-lez-Heest                | Namen                          | georgia                                      | 5567       |
| Kraków                           | MP                             | georgia                                      | 49-237     |
| Helensburgh                      | Dunbartonshire                 | georgia                                      | 325559     |
| Sioux City                       | IA                             | georgia                                      | 61767      |
| Belfast                          | U                              | georgia                                      | 47612      |
| Huntsville                       | AL                             | georgia                                      | 163708     |
| Molenbeersel                     | L.                             | georgia                                      | 95865      |
| Galway                           | Connacht                       | gambia                                       | 7278       |
| Palayankottai                    | Tamil Nadu                     | gambia                                       | 5420       |
| Trois-Rivi?res                   | Quebec                         | gambia                                       | 42760      |
| Rangiora                         | South Island                   | gambia                                       | 5715       |
| Vlissegem                        | West-Vlaanderen                | gambia                                       | 13967      |
| Dallas                           | Texas                          | gambia                                       | 21761      |
| Sh?diac                          | New Brunswick                  | gambia                                       | 7197       |
| Bremen                           | Bremen                         | gambia                                       | 0435MW     |
| San Juan (San Juan de Tibás)     | SJ                             | gambia                                       | 54481      |
| Timaru                           | SI                             | gabon                                        | 4456       |
| Northumberland                   | Ontario                        | gabon                                        | 75638      |
| Saint-Denis                      | Île-de-France                  | gabon                                        | 79926-064  |
| Cisano Bergamasco                | LOM                            | gabon                                        | 48732-100  |
| Tarnów                           | MP                             | gabon                                        | UA8 4RL    |
| Lithgow                          | NSW                            | gabon                                        | 822735     |
| Poole                            | DO                             | gabon                                        | 69002      |
| Springfield                      | Massachusetts                  | french southern territories                  | E6M 6Y9    |
| Scanzano Jonico                  | Basilicata                     | french southern territories                  | 41116      |
| Patna                            | BR                             | french southern territories                  | 61210      |
| Alajuela                         | Alajuela                       | french southern territories                  | 80375      |
| Redlands                         | QLD                            | french southern territories                  | 49254      |
| Annone di Brianza                | LOM                            | french southern territories                  | 21604      |
| Des Moines                       | IA                             | french southern territories                  | 61-071     |
| Aurora                           | CO                             | french southern territories                  | 383160     |
| Owen Sound                       | ON                             | french southern territories                  | 1470UK     |
| St. Catharines                   | Ontario                        | french southern territories                  | 5152       |
| San Leucio del Sannio            | CAM                            | french southern territories                  | 48134-789  |
| San Rafael                       | A                              | french polynesia                             | 78491      |
| Hamburg                          | HH                             | french polynesia                             | 5985       |
| Hamburg                          | HH                             | french polynesia                             | 03-662     |
| Rockville                        | MD                             | french polynesia                             | 84869      |
| Dumbarton                        | Dunbartonshire                 | french polynesia                             | X6Y 5AI    |
| Gliwice                          | SL                             | french polynesia                             | 9909       |
| Katsina                          | KT                             | french polynesia                             | 21682-809  |
| Waiuku                           | North Island                   | french polynesia                             | OX3 2DD    |
| Hoogeveen                        | Dr                             | french polynesia                             | 30344      |
| Hérouville-Saint-Clair           | Basse-Normandie                | french polynesia                             | 47554      |
| Warri                            | Delta                          | french polynesia                             | 30207      |
| Tarragona                        | CA                             | french polynesia                             | 26-865     |
| Auxerre                          | Bourgogne                      | french polynesia                             | 9997       |
| Salem                            | OR                             | french guiana                                | B4K 0M9    |
| Muzaffarpur                      | Bihar                          | french guiana                                | 5131       |
| Campomorone                      | LIG                            | french guiana                                | 2778BH     |
| Funtua                           | KT                             | french guiana                                | 4099       |
| Funtua                           | KT                             | french guiana                                | 52-595     |
| Sint-Pieters-Kapelle             | Vlaams-Brabant                 | french guiana                                | 5676       |
| Port Hope                        | ON                             | france                                       | 61308      |
| Carapicuíba                      | São Paulo                      | france                                       | 18644      |
| Tokoroa                          | North Island                   | france                                       | 7666       |
| Sambhal                          | Uttar Pradesh                  | france                                       | 1066       |
| Whitby                           | ON                             | france                                       | 8301       |
| Montebello                       | QC                             | france                                       | F9H 5YR    |
| Barcelona                        | Catalunya                      | france                                       | 238546     |
